datetime,temperature,precipitation,Flow,area,avg_height,avg_slope,AGRH_landuse,AGRLL_landuse,FRST_landuse,RNGB_landuse,URHD_landuse,URLD_landuse,WATR_landuse,ustic_soiltype,xeric_soiltype,criic_soiltype,udic_soiltype,aridic_soiltype,aquic_soiltype
2001-01-01,2.5985915492957745,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-02,3.6500000000000004,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-03,2.2,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-04,3.55,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-05,3.8,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-06,7.9,0.5,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-07,1.2000000000000002,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-08,2.5985915492957745,0.2,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-09,2.5985915492957745,0.2,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
2001-01-10,3.6500000000000004,0.0,,221.63957816708276,166.83247,0.07598665424020316,45.600019250667756,3.558967201674808,44.238034506821954,1.8576894386024014,4.552782924657699,0.1925066775753784,0.0,13.222802415958803,86.7771975840412,0.0,0.0,0.0,0.0
