datetime,temperature,precipitation,Flow,area,avg_height,avg_slope,AGRH_landuse,FRST_landuse,RNGB_landuse,URHD_landuse,AGRLL_landuse,URLD_landuse,WATR_landuse,udic_soiltype,ustic_soiltype,criic_soiltype,xeric_soiltype,aridic_soiltype,aquic_soiltype
2001-01-01,2.77,0.0,1.0519,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-02,1.7,0.0,0.9656,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-03,2.77,0.0,0.94,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-04,2.7,0.0,0.8691,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-05,7.6,0.0,0.76,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-06,6.9,4.7,0.7881,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-07,1.2,5.8,0.85,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-08,2.77,0.2,0.85,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-09,2.77,0.0,0.85,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
2001-01-10,6.8,0.0,0.8275,133.42001798560392,739.0227,0.2728184880707524,25.487687879756955,70.79868883914295,0.4716981132075472,3.241925167892549,0.0,0.0,0.0,99.86808442596738,0.1319155740326191,0.0,0.0,0.0,0.0
