datetime,temperature,precipitation,Flow,area,avg_height,avg_slope,AGRH_landuse,FRST_landuse,RNGB_landuse,URLD_landuse,AGRLL_landuse,URHD_landuse,WATR_landuse,criic_soiltype,udic_soiltype,ustic_soiltype,xeric_soiltype,aridic_soiltype,aquic_soiltype
2001-01-01,2.0178082191780824,1.2,0.3188,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-02,2.0178082191780824,1.2,0.3,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-03,2.0178082191780824,0.0,0.3,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-04,2.0178082191780824,1.9,0.3153,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-05,2.0178082191780824,4.3,0.334,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-06,2.0178082191780824,11.49,0.6751,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-07,2.0178082191780824,0.8,0.8065,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-08,2.0178082191780824,4.0,0.7017,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-09,2.0178082191780824,0.0,0.638,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
2001-01-10,2.0178082191780824,0.0,0.581,22.48556107400488,1788.8214,0.39968257562815274,7.151427885769139,64.67482601391889,12.502999760019199,15.670746340292776,0.0,0.0,0.0,50.094876660341555,49.905123339658445,0.0,0.0,0.0,0.0
